"question_text","option_a","option_b","option_c","option_d","correct_option","explanation","subject","topic_tag"
"What was the last capital of Ahom Kingdom?","Charaideo","Jorhat","Rangpur","Garhgaon","B","Jorhat was established as the last capital of the Ahom Kingdom by Swargadeo Gaurinath Singha in 1794[cite: 5, 6].","Assam GK","History of Assam"
"What was the name of Srimanta Sankardeva’s grandmother?","Aidew Aita","Jakoimoti","Kherxuti","Soirindhri","C","Srimanta Sankardeva was raised by his grandmother Khersuti (Kherxuti) after his parents passed away[cite: 5, 6].","Assam GK","Personalities & Culture of Assam"
"Who was known as the ‘Lion of Mysore’ ?","Adil Shah","Hyder Ali","Krishnaraja Wodeyar","Tipu Sultan","D","Tipu Sultan, the ruler of Mysore, was popularly known as the 'Lion of Mysore' for his resistance against British expansion[cite: 5, 6].","Assam GK","Indian History"
"Which State of India has Jallianwala Bagh?","Punjab","Haryana","Rajasthan","Uttar Pradesh","A","Jallianwala Bagh is located in Amritsar, Punjab, where the tragic massacre took place on April 13, 1919[cite: 5, 6].","Assam GK","Indian Freedom Struggle"
"Which of the following countries was a part of the Axis Group during the World War II?","England","Japan","France","Soviet Union","B","The primary Axis powers during World War II were Germany, Italy, and Japan[cite: 5, 6].","Assam GK","World History"
"The ruins of Angkor Wat are in which country?","New Zealand","Indonesia","Vietnam","Cambodia","D","Angkor Wat is a famous ancient Hindu-Buddhist temple complex situated in Siem Reap, Cambodia[cite: 5, 6].","Assam GK","World Monuments & History"
"Which of the following countries does Assam share international borders with?","Bhutan and China","China and Bangladesh","Bangladesh and Bhutan","Myanmar and Bangladesh","C","Assam shares international land borders with Bhutan to the north and Bangladesh to the south/west[cite: 5, 6].","Assam GK","Geography of Assam"
"If an airplane is flying directly from Chennai towards Guwahati, in which direction is it flying?","From South to East","From East to West","From West to East","From North to East","A","Guwahati is located northeast relative to Chennai, so a flight from Chennai moves generally from South towards East[cite: 5, 6].","Assam GK","Geography"
"What is the Westernmost State of India?","Rajasthan","Punjab","Maharashtra","Gujarat","D","Gujarat is the westernmost state of India, housing Ghuar Mota in the Kutch district[cite: 5, 6].","Assam GK","Indian Geography"
"Which of the following peaks does not belong to the Himalayas?","Annapurna","Kangto","Anamudi","Kamet","C","Anamudi is the highest peak in the Western Ghats and South India (located in Kerala), whereas the others are Himalayan peaks[cite: 5, 6].","Assam GK","Indian Geography"
"The Great Barrier Reef is located in the seas near which continent?","North America","Australia","Africa","Europe","B","The Great Barrier Reef is the world's largest coral reef system, located off the northeastern coast of Australia[cite: 5, 6].","Assam GK","World Geography"
"Which of the following is a mountain range of South America?","Andes","Karakoram","Alps","Caucasus","A","The Andes is the longest continental mountain range in the world, running along the western coast of South America[cite: 5, 6].","Assam GK","World Geography"
"The giant waves caused by volcanic eruptions or earthquakes under the sea are known as","tsunami","cyclone","blizzard","landslide","A","Tsunamis are massive ocean waves generated by submarine seismic activity or volcanic eruptions[cite: 5, 6].","General Science","Natural Disasters"
"Who is the Chairman of the Rajya Sabha?","The Prime Minister","The Vice President","The Speaker of the Lok Sabha","The President","B","Under Article 89 of the Constitution of India, the Vice-President of India serves as the ex-officio Chairman of the Rajya Sabha[cite: 5, 6].","Assam GK","Indian Polity"
"Who administers the Oath of Office to the President of India?","The Prime Minister","The Chief Justice of the Delhi High Court","The Chief Justice of the Supreme Court","The Speaker of the Lok Sabha","C","Under Article 60 of the Indian Constitution, the Chief Justice of India (Supreme Court) administers the oath of office to the President[cite: 5, 6].","Assam GK","Indian Polity"
"Which of the following musical instruments of Assam is usually made of bamboo?","Doba","Mridanga","Dotara","Toka","D","Toka is a traditional Assamese musical instrument made from a split section of seasoned bamboo[cite: 5, 6].","Assam GK","Culture of Assam"
"Where is the Tocklai Tea Research Centre located?","Jorhat","Lakhimpur","Tinsukia","Dhemaji","A","Tocklai Tea Research Institute, one of the oldest tea research centers globally, is located in Jorhat, Assam[cite: 5, 6].","Assam GK","Institutions of Assam"
"The Gita Press, a unit of Govind Bhawan Karyalaya, is located in which State?","Uttarakhand","Himachal Pradesh","Maharashtra","Uttar Pradesh","D","Gita Press is a world-renowned publisher of Hindu religious books located in Gorakhpur, Uttar Pradesh[cite: 5, 6].","Assam GK","Indian Heritage & Culture"
"An hour during a day’s session when questions/issues may be raised without prior notice in the Indian Parliament is called","Freedom Hour","Lunch Hour","Zero Hour","Party Hour","C","Zero Hour in the Indian Parliament allows members to raise urgent public importance matters without prior notice[cite: 5, 6].","Assam GK","Indian Polity"
"Who is the Chairman of NITI Aayog?","The Finance Minister","The Prime Minister","The Governor of the Reserve Bank of India","The Vice President","B","The Prime Minister of India serves as the ex-officio Chairman of NITI Aayog[cite: 5, 6].","Assam GK","Indian Polity / Administration"
