"question_text","option_a","option_b","option_c","option_d","correct_option","explanation","subject","topic_tag"
"Which of the following countries does Brazil not share international boundary with?","Chile","Argentina","Paraguay","Peru","A","Brazil shares land boundaries with almost every South American country except Chile and Ecuador[cite: 3].","Assam GK","World Geography"
"Who is considered as ‘the father of zero’?","Chitragupta","Brahmadutta","Varahamihira","Aryabhatta","D","Aryabhatta is widely celebrated for his groundbreaking contribution to mathematics, including the concept of zero[cite: 3].","Assam GK","Famous Personalities"
"Between which two major water bodies does the Suez Canal lie?","Mediterranean Sea and Atlantic Ocean","Atlantic Ocean and Pacific Ocean","Mediterranean Sea and Red Sea","Arabian Sea and Bay of Bengal","C","The Suez Canal connects the Mediterranean Sea to the Red Sea, enabling direct navigation between Europe and Asia[cite: 3].","Assam GK","World Geography"
"The Ajan Peer Dargah is located in which district of Assam?","Dhemaji","Sivasagar","Jorhat","Dibrugarh","B","The Ajan Peer Dargah, dedicated to the 17th-century Sufi saint Ajan Fakir, is situated in Saraguri Chapori in Sivasagar district[cite: 3].","Assam GK","History & Tourism of Assam"
"Who discovered Penicillin?","Edward Jenner","Alexander Fleming","Louis Pasteur","Isaac Newton","B","Sir Alexander Fleming discovered Penicillin in 1928, revolucionizing antibiotic therapy[cite: 3].","General Science","Biology / Science History"
"As on January 1, 2024, who is the Chairman and Managing Director of the Reliance Group?","Dhirubhai Ambani","Anil Ambani","Akash Ambani","Mukesh Ambani","D","Mukesh Ambani is the Chairman and Managing Director of Reliance Industries Ltd.[cite: 3]","Assam GK","Current Affairs / Business"
"The 2024 Summer Olympics was held in","Tokyo","London","Paris","Seoul","C","The 2024 Summer Olympic Games were hosted in Paris, France[cite: 3].","Assam GK","Sports GK"
"By which community of Assam is the Tusu Puja celebrated?","Tai-Ahom","Sonowal Kachari","Tea garden community","Karbi","C","Tusu Puja is a major folk festival celebrated during the month of Pausha/Poush primarily by the tea garden community of Assam[cite: 3].","Assam GK","Culture of Assam"
"Arjuna Award is awarded for excellence in","sports","cinema","literature","tribal art","A","The Arjuna Award is awarded annually by the Ministry of Youth Affairs and Sports to recognize outstanding achievements in sports and games[cite: 3].","Assam GK","Sports Awards"
"Leonardo da Vinci was from which country?","France","Germany","England","Italy","D","Leonardo da Vinci was a High Renaissance polymath born in Vinci, Italy[cite: 3].","Assam GK","World History"
"Which of the following is a hill district of Assam?","Cachar","Dima Hasao","Karimganj","Golaghat","B","Dima Hasao (along with Karbi Anglong and West Karbi Anglong) is an autonomous hill district of Assam[cite: 3].","Assam GK","Geography of Assam"
"Who is known as the ‘Iron Man of India’?","Mahatma Gandhi","Sardar Vallabhbhai Patel","Ishwar Chandra Vidyasagar","Radha Govinda Baruah","B","Sardar Vallabhbhai Patel earned the title 'Iron Man of India' for his decisive role in integrating princely states into the Indian Union[cite: 3].","Assam GK","Indian History"
"How many spokes are there in the Chakra of our National Flag?","24","36","18","32","A","The Ashoka Chakra at the center of the Indian national flag has 24 spokes representing 24 virtues[cite: 3].","Assam GK","Indian Polity / National Symbols"
"Who is presently the Supreme Commander of the Defence Forces of India?","Narendra Modi","Rajnath Singh","Droupadi Murmu","Anil Chauhan","C","Under Article 53 of the Constitution, the President of India (Droupadi Murmu) is the Supreme Commander of the Armed Forces[cite: 3].","Assam GK","Indian Polity"
"As on 1st of January, 2024, which two countries are at war?","Israel and Saudi Arabia","Russia and Ukraine","India and Pakistan","North Korea and Vietnam","B","The Russia-Ukraine war began with a full-scale invasion in February 2022 and remained ongoing as of January 2024[cite: 3].","Assam GK","International Relations / Current Affairs"
"Which of the following countries has ‘Ngultrum’ as its currency?","Myanmar","Indonesia","Bhutan","Vietnam","C","The Ngultrum (BTN) is the official legal tender currency of the Kingdom of Bhutan[cite: 3].","Assam GK","World Currencies"
