mock_id,question_no,section,question,option_a,option_b,option_c,option_d,correct_option,correct_answer,marks
ADRE_G3_MOCK_04,1,"General Knowledge, Social Studies & General Science",Which constitutional provision empowers Parliament to create a new state by separation of territory from an existing state?,Article 1,Article 2,Article 3,Article 4,C,Article 3,1.5
ADRE_G3_MOCK_04,2,"General Knowledge, Social Studies & General Science",The doctrine of 'basic structure' of the Constitution was propounded in which case?,Golaknath case,Kesavananda Bharati case,Minerva Mills case,Maneka Gandhi case,B,Kesavananda Bharati case,1.5
ADRE_G3_MOCK_04,3,"General Knowledge, Social Studies & General Science",The power of the President to promulgate ordinances is contained in:,Article 72,Article 123,Article 143,Article 213,B,Article 123,1.5
ADRE_G3_MOCK_04,4,"General Knowledge, Social Studies & General Science",Which writ is issued to command a public authority to perform a public duty?,Habeas Corpus,Mandamus,Certiorari,Quo Warranto,B,Mandamus,1.5
ADRE_G3_MOCK_04,5,"General Knowledge, Social Studies & General Science",The 42nd Constitutional Amendment is popularly known as the:,Mini Constitution,Federal Amendment,Judicial Amendment,Panchayati Amendment,A,Mini Constitution,1.5
ADRE_G3_MOCK_04,6,"General Knowledge, Social Studies & General Science",The voting age in India was reduced from 21 to 18 by the:,42nd Amendment,44th Amendment,61st Amendment,73rd Amendment,C,61st Amendment,1.5
ADRE_G3_MOCK_04,7,"General Knowledge, Social Studies & General Science",The concept of judicial review in India is primarily derived from the constitutional system of:,United Kingdom,United States,France,Canada,B,United States,1.5
ADRE_G3_MOCK_04,8,"General Knowledge, Social Studies & General Science",The 'residuary powers' under the Indian Constitution belong to:,States,Parliament,President,Supreme Court,B,Parliament,1.5
ADRE_G3_MOCK_04,9,"General Knowledge, Social Studies & General Science",Who presides over a joint sitting of the Indian Parliament?,President,Vice-President,Speaker of Lok Sabha,Chief Justice of India,C,Speaker of Lok Sabha,1.5
ADRE_G3_MOCK_04,10,"General Knowledge, Social Studies & General Science",A Money Bill can be introduced only in the:,Rajya Sabha,Lok Sabha,Either House,Joint sitting,B,Lok Sabha,1.5
ADRE_G3_MOCK_04,11,"General Knowledge, Social Studies & General Science",The first Indian to become President of the Indian National Congress was:,W. C. Bonnerjee,Dadabhai Naoroji,Surendranath Banerjee,Badruddin Tyabji,A,W. C. Bonnerjee,1.5
ADRE_G3_MOCK_04,12,"General Knowledge, Social Studies & General Science",The Ilbert Bill controversy occurred during the viceroyalty of:,Lord Lytton,Lord Ripon,Lord Curzon,Lord Dufferin,B,Lord Ripon,1.5
