ADRE_G4_MOCK_01,1,General English,Choose the synonym of 'happy'.,Sad,Joyful,Angry,Weak,B,Joyful,1
ADRE_G4_MOCK_01,1,General English,Choose the antonym of 'early'.,Fast,Late,Quick,Soon,B,Late,1
ADRE_G4_MOCK_01,2,General English,Choose the correctly spelled word.,Necessary,Necesary,Neccessary,Necassary,A,Necessary,1
ADRE_G4_MOCK_01,3,General English,Fill in the blank: He ___ a student.,am,are,is,be,C,is,1
ADRE_G4_MOCK_01,4,General English,Choose the correct article: She is ___ teacher.,a,an,the,no article,A,a,1
ADRE_G4_MOCK_01,5,General English,Choose the correct plural of 'mouse'.,Mouses,Mice,Mousees,Mices,B,Mice,1
ADRE_G4_MOCK_01,6,General English,Choose the correct sentence.,He go to school.,He goes to school.,He going school.,He gone school.,B,He goes to school.,1
ADRE_G4_MOCK_01,7,General English,What is the opposite of 'strong'?,Powerful,Weak,Brave,Hard,B,Weak,1
ADRE_G4_MOCK_01,8,General English,Choose the synonym of 'begin'.,Start,Stop,End,Close,A,Start,1
ADRE_G4_MOCK_01,9,General English,Fill in the blank: They ___ playing football.,is,am,are,be,C,are,1
ADRE_G4_MOCK_01,10,General English,Choose the correct preposition: The book is ___ the table.,on,at,by,to,A,on,1
ADRE_G4_MOCK_01,11,General English,Identify the noun: 'The boy runs fast.',runs,fast,boy,the,C,boy,1
ADRE_G4_MOCK_01,12,General English,Identify the adjective: 'She has a beautiful dress.',has,beautiful,dress,she,B,beautiful,1
ADRE_G4_MOCK_01,13,General English,Choose the correct past tense of 'go'.,goed,gone,went,going,C,went,1
ADRE_G4_MOCK_01,14,General English,Choose the correct spelling.,Beautiful,Beautifull,Beutiful,Beautifol,A,Beautiful,1
ADRE_G4_MOCK_01,15,General English,'A person who teaches' is called a:,Doctor,Teacher,Farmer,Driver,B,Teacher,1
ADRE_G4_MOCK_01,16,General English,Choose the synonym of 'small'.,Huge,Tiny,Wide,Tall,B,Tiny,1
ADRE_G4_MOCK_01,17,General English,Choose the antonym of 'clean'.,Neat,Dirty,Pure,Fresh,B,Dirty,1
ADRE_G4_MOCK_01,18,General English,Fill in the blank: I ___ my homework yesterday.,do,does,did,doing,C,did,1
ADRE_G4_MOCK_01,19,General English,Choose the correct sentence.,She don't like tea.,She doesn't like tea.,She doesn't likes tea.,She not like tea.,B,She doesn't like tea.,1
ADRE_G4_MOCK_01,20,General English,What does 'look after' mean?,Search,Take care of,Look behind,Ignore,B,Take care of,1
ADRE_G4_MOCK_01,21,General English,Choose the correct word: The sun ___ in the east.,rise,rises,rising,rose,B,rises,1
ADRE_G4_MOCK_01,22,General English,The plural of 'child' is:,Childs,Children,Childrens,Childes,B,Children,1
ADRE_G4_MOCK_01,23,General English,Choose the correct pronoun: Rina and I went to the market. ___ bought vegetables.,He,They,We,She,C,We,1
ADRE_G4_MOCK_01,24,General English,Choose the correct punctuation:,What is your name.,What is your name?,What is your name!,"What, is your name.",B,What is your name?,1
ADRE_G4_MOCK_01,25,General Knowledge,The capital of India is:,Mumbai,New Delhi,Kolkata,Chennai,B,New Delhi,1
ADRE_G4_MOCK_01,26,General Knowledge,The capital of Assam is:,Guwahati,Dispur,Jorhat,Tezpur,B,Dispur,1
ADRE_G4_MOCK_01,27,General Knowledge,The national animal of India is:,Lion,Tiger,Elephant,Leopard,B,Tiger,1
ADRE_G4_MOCK_01,28,General Knowledge,The national bird of India is:,Peacock,Sparrow,Eagle,Parrot,A,Peacock,1
ADRE_G4_MOCK_01,29,General Knowledge,The national flower of India is:,Rose,Lotus,Lily,Sunflower,B,Lotus,1
ADRE_G4_MOCK_01,30,General Knowledge,The currency of India is:,Dollar,Rupee,Pound,Yen,B,Rupee,1
ADRE_G4_MOCK_01,31,General Knowledge,Who is known as the Father of the Nation in India?,Jawaharlal Nehru,Mahatma Gandhi,Sardar Patel,Subhas Chandra Bose,B,Mahatma Gandhi,1
ADRE_G4_MOCK_01,32,General Knowledge,India became independent in:,1945,1946,1947,1950,C,1947,1
ADRE_G4_MOCK_01,33,General Knowledge,Republic Day is celebrated on:,15 August,26 January,2 October,14 November,B,26 January,1
ADRE_G4_MOCK_01,34,General Knowledge,Independence Day is celebrated on:,26 January,15 August,2 October,5 September,B,15 August,1
ADRE_G4_MOCK_01,35,General Knowledge,The Constitution of India came into force on:,15 August 1947,26 November 1949,26 January 1950,2 October 1950,C,26 January 1950,1
ADRE_G4_MOCK_01,36,General Knowledge,Who was the first President of India?,Rajendra Prasad,Jawaharlal Nehru,Sardar Patel,B. R. Ambedkar,A,Rajendra Prasad,1
